time,dt,student,test
84.847634,0.468771,S1,Final
85.347657,0.500023,S1,Final
85.722674,0.375017,S1,Final
107.754932,0.43752,S1,Final
108.223704,0.468771,S1,Final
108.645598,0.421894,S1,Final
109.11437,0.468771,S1,Final
109.520638,0.406269,S1,Final
109.98941,0.468771,S1,Final
110.442555,0.453146,S1,Final
110.958204,0.515649,S1,Final
113.05205,0.484397,S1,Final
113.458318,0.406269,S1,Final
134.287397,0.421894,S1,Final
134.740543,0.453146,S1,Final
135.162437,0.421894,S1,Final
135.599957,0.43752,S1,Final
136.006226,0.406269,S1,Final
136.459371,0.453146,S1,Final
136.912517,0.453146,S1,Final
137.30316,0.390643,S1,Final
137.787557,0.484397,S1,Final
138.28758,0.500023,S1,Final
138.693849,0.406269,S1,Final
139.16262,0.468771,S1,Final
139.631392,0.468771,S1,Final
140.053286,0.421894,S1,Final
140.537683,0.484397,S1,Final
140.959577,0.421894,S1,Final
141.428349,0.468771,S1,Final
141.850243,0.421894,S1,Final
142.303389,0.453146,S1,Final
142.740909,0.43752,S1,Final
143.20968,0.468771,S1,Final
143.6472,0.43752,S1,Final
144.08472,0.43752,S1,Final
144.506615,0.421894,S1,Final
144.95976,0.453146,S1,Final
145.428532,0.468771,S1,Final
145.897303,0.468771,S1,Final
146.412952,0.515649,S1,Final
146.850472,0.43752,S1,Final
147.366121,0.515649,S1,Final
147.819266,0.453146,S1,Final
148.303663,0.484397,S1,Final
148.756809,0.453146,S1,Final
149.241206,0.484397,S1,Final
149.709978,0.468771,S1,Final
150.194375,0.484397,S1,Final
150.647521,0.453146,S1,Final
151.131918,0.484397,S1,Final
151.600689,0.468771,S1,Final
152.085087,0.484397,S1,Final
152.538232,0.453146,S1,Final
153.022629,0.484397,S1,Final
153.491401,0.468771,S1,Final
153.975798,0.484397,S1,Final
154.44457,0.468771,S1,Final
154.913341,0.468771,S1,Final
302.279462,0.43752,S1,Final
302.701356,0.421894,S1,Final
303.138876,0.43752,S1,Final
303.56077,0.421894,S1,Final
304.013916,0.453146,S1,Final
304.451436,0.43752,S1,Final
304.904582,0.453146,S1,Final
305.342102,0.43752,S1,Final
305.826499,0.484397,S1,Final
306.264019,0.43752,S1,Final
306.73279,0.468771,S1,Final
307.17031,0.43752,S1,Final
307.639082,0.468771,S1,Final
308.076602,0.43752,S1,Final
308.529748,0.453146,S1,Final
308.967268,0.43752,S1,Final
309.404788,0.43752,S1,Final
309.842308,0.43752,S1,Final
310.279828,0.43752,S1,Final
310.732974,0.453146,S1,Final
311.186119,0.453146,S1,Final
311.608014,0.421894,S1,Final
312.045534,0.43752,S1,Final
312.483054,0.43752,S1,Final
317.358277,0.453146,S1,Final
327.37436,0.43752,S1,Final
327.874383,0.500023,S1,Final
328.35878,0.484397,S1,Final
328.843178,0.484397,S1,Final
329.311949,0.468771,S1,Final
329.796346,0.484397,S1,Final
330.265118,0.468771,S1,Final
330.733889,0.468771,S1,Final
331.218286,0.484397,S1,Final
331.718309,0.500023,S1,Final
332.187081,0.468771,S1,Final
332.655852,0.468771,S1,Final
333.140249,0.484397,S1,Final
333.655898,0.515649,S1,Final
334.093418,0.43752,S1,Final
334.687195,0.593777,S1,Final
335.312224,0.625029,S1,Final
335.796621,0.484397,S1,Final
336.343521,0.5469,S1,Final
354.219339,0.468771,S1,Final
354.719362,0.500023,S1,Final
355.250636,0.531274,S1,Final
590.152014,0.421894,S1,Final
590.60516,0.453146,S1,Final
591.027054,0.421894,S1,Final
591.417697,0.390643,S1,Final
591.870842,0.453146,S1,Final
592.308362,0.43752,S1,Final
592.730257,0.421894,S1,Final
593.199028,0.468771,S1,Final
593.620923,0.421894,S1,Final
594.152197,0.531274,S1,Final
594.54284,0.390643,S1,Final
595.011611,0.468771,S1,Final
595.41788,0.406269,S1,Final
